user_id,username,first_bot_flag,last_rights_change
4551104.0,COBot,20080115025933,20080115025933
5766757.0,JJBot,20080117235645,20140708185213
6255927.0,Botpankonin,20080123085712,20140708122151
5517884.0,Alexbot,20080127180511,20140708131741
6322261.0,BaldBot,20080130163239,20080217234606
6085301.0,DumZiBoT,20080204000752,20140708235907
,HBC_AIV_helperbot7,20080212161320,20170605154604
6316599.0,Comics-awb,20080217083026,20140709000354
6275510.0,IPTaggerBot,20080217083231,20140708185128
,EBot_IV,20080218131328,20080408133703
,SoxBot_III,20080218184541,20140709000248
,HBC_AIV_helperbot_8,20080221223256,20161203171410
,HBC_AIV_helperbot5,20080301003121,20240718094724
6538556.0,AWeenieBot,20080301003153,20161203171453
,718_Bot,20080301183914,20180625165450
6351353.0,SilvonenBot,20080305012308,20140708121127
6456299.0,ElMeBot,20080305012325,20140708235957
6228552.0,BodhisattvaBot,20080305231533,20140708131712
,Non-Free_Content_Compliance_Bot,20080305233316,20140708185148
6164758.0,Lockalbot,20080308125328,20140708185144
6352359.0,Kal-El-Bot,20080308125407,20140708235500
6447875.0,YekratsBot~enwiki,20080308125445,20150724201220
4105298.0,KrimpBot,20080308125646,20140708185721
6505923.0,Kbdankbot,20080308233011,20140709101451
,Pending_deletion_script~enwiki,20080309135722,20080309135722
57806.0,Bgbot,20080311120145,20080311120145
140554.0,LinkBot,20080313165157,20080313165157
89080.0,KevinBot,20080314142901,20080314142901
,The_Anomebot,20080314142925,20080314142925
111945.0,Topjabot~enwiki,20080314210429,20080314210429
6630658.0,Newsletterbot,20080317103509,20140708185729
,SoxBot_IV,20080319030116,20140708235849
,John_Bot,20080319151736,20090720034601
6471211.0,Bikabot,20080320144705,20140708185205
6497177.0,FlagBot,20080321082306,20240101192159
273237.0,RobotE,20080322064131,20080322064131
6754156.0,EjsBot,20080328034238,20090521093904
6771835.0,LatitudeBot,20080330161058,20150724202020
6756213.0,AkhtaBot,20080330161116,20150724200726
6678853.0,GargoyleBot,20080404181944,20140709101506
6809185.0,MagnusA.Bot,20080409122840,20130825023137
6861762.0,SpillingBot,20080411194806,20140709000306
,John_Bot_III,20080411195044,20090720034749
1022055.0,FairuseBot,20080412030106,20080412030106
,DOI_bot,20080412150224,20080927050842
6891585.0,NjardarBot,20080415174644,20140708121416
,SMS_Bot,20080417205010,20140708185439
6867938.0,MBisanzBot,20080419141948,20260417193335
6380178.0,StormBot,20080419143754,20140708185713
6290400.0,PseudoBot,20080422232133,20080424211348
6937400.0,BepBot,20080427183141,20150724200834
6925813.0,H92Bot,20080427183204,20140708235515
6913867.0,Eivindbot,20080427183242,20140708185747
,John_Bot_II,20080427183306,20090720034725
6932179.0,ShepBot,20080427204517,20161203171908
6986250.0,AndersBot,20080428211347,20150724200828
7020891.0,Ginosbot,20080502155009,20081103222824
6569922.0,Addbot,20080505120924,20080505120924
6917606.0,LaaknorBot,20080505125454,20140708121612
6990130.0,FiriBot,20080506113121,20140708121859
7029070.0,LinkFA-Bot,20080506113238,20150228131545
7027852.0,SamatBot,20080506113308,20140708132150
,SteveCrossinBot,20080507205926,20080507205926
3975649.0,WODUPbot,20080510205935,20140708235519
,SoxBot_V,20080511183830,20161203171734
7049876.0,Rtz-bot,20080512140409,20150724201618
7118326.0,Numbo3-bot,20080516140434,20140709000345
7039673.0,ViskonBot,20080516140530,20150724201234
7082157.0,Kisbesbot,20080516140754,20140708185703
7016748.0,SpBot,20080516140837,20140708130356
6929011.0,CarsracBot,20080521183644,20150709090442
7025534.0,LemmeyBOT,20080521183830,20080617022426
7147611.0,Town-bot,20080522233444,20161203171416
,SoxBot_VIII,20080524231424,20140708235508
7125835.0,FireflyBot,20080526071058,20210818152830
7059455.0,PeerReviewBot,20080529095714,20220211215323
7140592.0,FritzpollBot,20080530174000,20140709000337
7212731.0,TinucherianBot,20080530174031,20150722100148
6913650.0,MrVanBot,20080602040725,20140709101337
7013194.0,ChenzwBot,20080602040732,20140708121945
,SoxBot_VI,20080602040738,20161203171738
7218328.0,Zorrobot,20080604220059,20140708120755
6552142.0,Albambot,20080604221414,20150724200731
,ClueBot_VI,20080605031927,20161203172031
7155532.0,Denbot,20080605100659,20140708235440
7178666.0,Lightbot,20080605100800,20130529191053
,Diligent_Terrier_Bot,20080606151559,20140708185743
3971736.0,DvyBot,20080608094547,20140708190050
7254738.0,WolterBot,20080610181045,20140709101416
7128788.0,DinoBot2,20080613142052,20140708190235
,Purbo_T,20080613142136,20140708130704
7268893.0,Swimmingbot-awb,20080613230922,20140708185724
7310603.0,PlankBot,20080615005731,20140708190228
7192839.0,WuBot,20080615180349,20140708130012
5197800.0,JVbot,20080617031243,20080617031243
7304691.0,Legobot,20080617031301,20080617031301
6339071.0,Kwjbot,20080618220155,20140708121616
7246336.0,CountryBot,20080618220158,20080618220158
7320905.0,Luckas-bot,20080618220201,20140708121605
,VFD_Bot,20080619043137,20080619043137
7369635.0,RockfangBot,20080628053106,20080628053217
7328338.0,Yobot,20080628053349,20080628053349
7302634.0,DrFO.Tn.Bot,20080628053428,20140709101400
6773911.0,Tanhabot,20080628053457,20140708130309
,SoxBot_VII,20080629050247,20161203171726
,SoxBot_X,20080706060357,20140708235451
,J_Milburn_Bot,20080706234555,20080706234555
,WPArkansas_Bot,20080707232453,20140709101309
7225622.0,Xenobot,20080708221116,20140709101521
36844.0,Snobot,20080709170641,20080709170641
197223.0,Nobot~enwiki,20080709170710,20080709170710
200235.0,Grammarbot,20080709170733,20080709170733
155478.0,MBot~enwiki,20080709170749,20080709170749
68471.0,Sethbot,20080709170805,20080709170805
51129.0,NohatBot,20080709170833,20080709170833
239574.0,NekoDaemon,20080709171003,20080709171003
,Janna_Isabot,20080709171016,20140708184039
6649961.0,NotifyBot,20080709172217,20080709172217
7328221.0,MifterBot,20080711024243,20080711024243
,AtyndallBot,20080711042733,20080711042733
,WikiDreamer_Bot,20080715165836,20080816112906
,Milk's_Favorite_Bot,20080715194611,20140708185736
,Milk's_Favorite_Bot_II,20080720175359,20110920141019
7449496.0,WilhelmBot,20080721043253,20140708190014
,Vini_17bot5,20080721230223,20150724201230
7390477.0,Amirobot,20080722201349,20140708131724
6424168.0,MystBot,20080722213948,20140708121424
7513046.0,AdminStatsBot,20080723093552,20240718094736
7482776.0,AmeliorationBot,20080724095341,20161203171433
6045156.0,WASDbot,20080726081911,20161203171403
7355879.0,Ptbotgourou,20080727065107,20140708121406
7539788.0,TestEditBot,20080729040306,20080730183404
1577661.0,DeskanaTest,20080729040344,20080729040402
5936301.0,SlakrBot,20080729201646,20130529191101
7359933.0,TaBOT-zerem,20080806150402,20150724202008
7582204.0,SVGBot,20080807170900,20140708185955
7594340.0,Danielfolsom2.bot,20080810001001,20140708235953
7541422.0,Plasticbot,20080814115707,20140708190042
3445382.0,MercuryBot,20080820143436,20080820143436
7669720.0,NVS(bot),20080820143532,20161203171449
7688536.0,Nixbot,20080823024922,20140708190009
7048732.0,SteveBot,20080824000502,20090511030603
7671243.0,AilurophobiaBot,20080904043000,20161203171444
7611264.0,AnomieBOT,20080904043047,20140717020523
7722125.0,SusBot~enwiki,20080907115314,20140708190239
7716793.0,AloysiusLiliusBot,20080907115333,20161203171425
7639874.0,SamuraiBot,20080907115518,20140708190243
7250546.0,HerculeBot,20080912001326,20150724201944
5701402.0,SelectionBot,20080915212119,20161203172102
761101.0,Sambot,20080918112543,20110920225903
5450947.0,Kaspobot,20080920185834,20140708190029
,Citation_bot,20080927050919,20171214181556
7389664.0,Naudefjbot~enwiki,20080929145820,20140708121420
2450100.0,Yonidebot,20080929145901,20140708235948
,FA_Template_Protection_Bot,20080930002031,20090217114256
7826260.0,Zxabot,20081008014445,20140708235921
8057705.0,MPUploadBot,20081013033035,20120303205630
7822573.0,ArticleAlertbot,20081014193400,20130529060402
8084476.0,Nomenclaturebrowser,20081016223122,20161203171429
,TinucherianBot_II,20081016225309,20140708130230
,MifterBot_I,20081018053606,20081018053606
8108756.0,A-lú-mih-bot,20081019110946,20140708190209
8066952.0,DustyBot,20081025033707,20140709101345
8163269.0,AudeBot,20081030163920,20081030163920
