close_rev_id,page_id,close_ts,outcome_type,closer
660013780,15253621,20150430070026,stale,Legobot
660077463,5558514,20150430160025,stale,Legobot
660086497,7366056,20150430170021,stale,Legobot
660104709,18499687,20150430190022,stale,Legobot
660113756,18499687,20150430200024,stale,Legobot
660344832,29086702,20150502010021,stale,Legobot
660359580,32180833,20150502030025,stale,Legobot
660396232,43056467,20150502090027,stale,Legobot
660555653,4194118,20150503080033,stale,Legobot
660582831,46304971,20150503130047,stale,Legobot
660641141,173833,20150503200014,stale,Legobot
660668008,4278823,20150503230015,stale,Legobot
660683478,4437210,20150504010018,stale,Legobot
660843389,10104263,20150504220020,stale,Legobot
661115884,6271158,20150506160030,stale,Legobot
661170880,46336153,20150506230026,stale,Legobot
661197813,535443,20150507030016,stale,Legobot
661197844,45666717,20150507030033,stale,Legobot
661202837,41183378,20150507040038,stale,Legobot
661254353,38327374,20150507140027,stale,Legobot
661261661,3573060,20150507150027,stale,Legobot
661329240,56088,20150508000023,stale,Legobot
661329295,34707018,20150508000042,stale,Legobot
661356980,46368627,20150508040032,stale,Legobot
661452726,46313288,20150508190040,stale,Legobot
661528639,10245848,20150509090055,stale,Legobot
661582984,19298491,20150509180037,stale,Legobot
661597113,1723941,20150509200036,stale,Legobot
661740587,37391131,20150510200034,stale,Legobot
661747497,59492,20150510210013,stale,Legobot
661940197,45492099,20150512030028,stale,Legobot
661950345,3706897,20150512050018,stale,Legobot
662060140,30287,20150512210037,stale,Legobot
662073528,43083604,20150512230039,stale,Legobot
662399033,41183378,20150515040031,stale,Legobot
662408994,875430,20150515060148,stale,Legobot
662436837,3573060,20150515120027,stale,Legobot
662506869,454184,20150515220016,stale,Legobot
662518766,1719238,20150516000116,stale,Legobot
662523966,1719238,20150516010031,stale,Legobot
662529920,1719238,20150516020018,stale,Legobot
662539623,46641821,20150516040050,stale,Legobot
662701148,43194679,20150517030044,stale,Legobot
662740379,46347823,20150517090027,stale,Legobot
662752470,21279437,20150517110035,stale,Legobot
662774782,3734161,20150517150019,stale,Legobot
662904915,46735802,20150518080029,stale,Legobot
662943867,49697,20150518150021,stale,Legobot
662974588,44578986,20150518190030,stale,Legobot
663178094,30977995,20150520010035,stale,Legobot
663261633,16047429,20150520140027,stale,Legobot
663289836,3676777,20150520180027,stale,Legobot
663340460,3382510,20150521010035,stale,Legobot
663472950,43332475,20150522000035,stale,Legobot
663550082,10519831,20150522150048,stale,Legobot
663564286,41044470,20150522170026,stale,Legobot
663602846,18361961,20150522230043,stale,Legobot
663619547,3770429,20150523020038,stale,Legobot
663619559,40056283,20150523020045,stale,Legobot
663696968,7029518,20150523180041,stale,Legobot
663749722,10364429,20150524030019,stale,Legobot
663945623,449893,20150525130021,stale,Legobot
663996854,3706897,20150525200036,stale,Legobot
664019785,3025673,20150525230016,stale,Legobot
664059108,23025,20150526040015,stale,Legobot
664127838,930060,20150526150016,stale,Legobot
664127869,46383872,20150526150028,stale,Legobot
664135440,1222521,20150526160032,stale,Legobot
664143947,3117615,20150526170031,stale,Legobot
664159944,39511456,20150526190025,stale,Legobot
664168639,4622916,20150526200026,stale,Legobot
664201277,306341,20150527010014,stale,Legobot
664207912,46809787,20150527020030,stale,Legobot
664235300,2121445,20150527070034,stale,Legobot
664235310,46744985,20150527070042,stale,Legobot
664256469,962815,20150527110020,stale,Legobot
664274498,33454302,20150527140026,stale,Legobot
664344477,36876262,20150528000050,stale,Legobot
664386150,6732644,20150528080021,stale,Legobot
664395240,10281648,20150528100036,stale,Legobot
664478920,39134252,20150528220020,stale,Legobot
664557435,9069836,20150529130018,stale,Legobot
664802324,46726143,20150531030024,stale,Legobot
664940393,13490075,20150601000030,stale,Legobot
665251946,28246889,20150603000052,stale,Legobot
665370696,20245805,20150603200027,stale,Legobot
665385653,46491098,20150603220043,stale,Legobot
665573623,1345650,20150605050034,stale,Legobot
665580206,411973,20150605060032,stale,Legobot
665584708,28288358,20150605070024,stale,Legobot
665656229,7670280,20150605190021,stale,Legobot
665670230,9681697,20150605210021,stale,Legobot
665670246,45298876,20150605210027,stale,Legobot
665677708,17927396,20150605220022,stale,Legobot
665719632,25667320,20150606060036,stale,Legobot
665765567,5043077,20150606150047,stale,Legobot
665772254,4545278,20150606160020,stale,Legobot
665798598,13257671,20150606200042,stale,Legobot
665798606,38322098,20150606200046,stale,Legobot
665798613,43012747,20150606200047,stale,Legobot
665798614,43206823,20150606200048,stale,Legobot
665822209,11451297,20150607000101,stale,Legobot
665955489,5307195,20150607230034,stale,Legobot
665955497,46648730,20150607230038,stale,Legobot
666113377,46656774,20150609000103,stale,Legobot
666131759,46491098,20150609030046,stale,Legobot
666174922,503138,20150609120021,stale,Legobot
666174931,37982369,20150609120032,stale,Legobot
666288230,1917900,20150610040034,stale,Legobot
666427710,4437210,20150611030043,stale,Legobot
666438083,41392241,20150611050027,stale,Legobot
666453840,3117615,20150611080040,stale,Legobot
666474500,25167129,20150611120043,stale,Legobot
666480331,46668388,20150611130029,stale,Legobot
666486514,11499015,20150611140031,stale,Legobot
666646457,46491098,20150612170032,stale,Legobot
666723809,3706897,20150613060046,stale,Legobot
666762747,7037833,20150613140029,stale,Legobot
666796118,41026308,20150613190041,stale,Legobot
666828574,5344550,20150614000056,stale,Legobot
666911432,30392564,20150614150046,stale,Legobot
666911437,43437616,20150614150048,stale,Legobot
667063561,3706897,20150615160037,stale,Legobot
667121099,3706897,20150616000059,stale,Legobot
667308189,3279729,20150617060101,stale,Legobot
667381382,610800,20150617180035,stale,Legobot
667590415,1337187,20150619055446,stale,Legobot
667804046,296010,20150620192029,stale,Legobot
667804115,6850790,20150620192050,stale,Legobot
667804128,34187441,20150620192057,stale,Legobot
667804135,47019925,20150620192102,stale,Legobot
667816698,24565896,20150620210034,stale,Legobot
667823611,44950161,20150620220034,stale,Legobot
667899539,2406280,20150621090023,stale,Legobot
668017594,159422,20150622000021,stale,Legobot
668137538,652253,20150622160250,stale,Legobot
668392430,47019925,20150624010036,stale,Legobot
668409320,9522356,20150624030030,stale,Legobot
668442146,189815,20150624090018,stale,Legobot
668484478,4285901,20150624160029,stale,Legobot
668523554,764307,20150624210020,stale,Legobot
668572481,1100873,20150625050018,stale,Legobot
668707795,3083803,20150626030024,stale,Legobot
668707831,35779913,20150626030039,stale,Legobot
668707840,43437616,20150626030042,stale,Legobot
668740932,986140,20150626100020,stale,Legobot
668756824,47064757,20150626130035,stale,Legobot
668777295,20419368,20150626160036,stale,Legobot
668784246,402110,20150626170017,stale,Legobot
668842570,280038,20150627010015,stale,Legobot
668852568,411973,20150627030018,stale,Legobot
668932780,67664,20150627180017,stale,Legobot
669073271,26820591,20150628180041,stale,Legobot
669108384,39421190,20150628230035,stale,Legobot
669126450,219041,20150629020017,stale,Legobot
669164252,16965597,20150629100033,stale,Legobot
