open_rev_id,page_id,namespace,page_title,open_ts,close_ts,outcome_type,closer,duration_days
719152241,5193278,5,WikiProject_Australia/To-do/Politicians,20160507230115,,open,,
719203524,17790140,11,Martin_Luther_King_Jr.,20160508080115,,open,,
719203532,35343049,11,Malcolm_X,20160508080117,,open,,
719350982,5193278,5,WikiProject_Australia/To-do/Politicians,20160509050113,,open,,
719362127,48939464,1,Jeremy_Searle,20160509070119,20160608070121,stale,Legobot,30.0
719373659,33660843,1,Penn_State_child_sex_abuse_scandal,20160509090117,20160608090117,stale,Legobot,30.0
719540555,15221353,5,IP_block_exemption,20160510090118,20160510090119,stale,Legobot,0.0
719630184,30008,1,The_Matrix,20160510210111,20160609200121,stale,Legobot,29.0
719630197,22046678,11,Marriage,20160510210119,20160609210123,stale,Legobot,30.0
719653347,35284579,1,Dallon_Weekes,20160511000118,,open,,
719719342,986140,4,Village_pump_(policy),20160511110115,20200524064322,human_close,Mz7,1473.0
719732376,1179895,1,Ipswich,20160511130114,20160610110114,stale,Legobot,29.0
719748178,5905358,5,Manual_of_Style/Comics,20160511150119,20160610160117,stale,Legobot,30.0
719764465,65428,1,Black_supremacy,20160511170112,20160610160112,stale,Legobot,29.0
719789243,32628097,1,2016_United_States_Senate_elections,20160511200119,20160610190118,stale,Legobot,29.0
719798332,782939,1,Emma_Watson,20160511210114,20160610210115,stale,Legobot,30.0
719819060,9083033,11,Rfd2,20160512000118,20160610110117,stale,Legobot,29.0
719851353,21402474,1,Eidetic_memory,20160512050118,20160611050116,stale,Legobot,29.0
719919180,46608420,1,Manuel_Fal_Conde,20160512160120,,open,,
719934505,49624963,1,"The_Grange,_Broadhembury",20160512180124,20160611170117,stale,Legobot,29.0
719959181,2979,1,Arab–Israeli_conflict,20160512210111,20160611220114,stale,Legobot,30.0
719973522,50526012,1,Intercultural_Institute_of_Ayuuk,20160512230121,,open,,
720011019,6623915,1,Sia,20160513050116,20160612060121,stale,Legobot,30.0
720057173,24852,1,Potato_chips,20160513130112,20160605000129,stale,Legobot,22.0
720140874,47009772,1,Abby_Tomlinson,20160514000125,20160612230118,stale,Legobot,29.0
720166226,425905,5,Speedy_deletion,20160514040117,20190114191034,human_close,Mz7,975.0
720178707,50484918,1,Salim_Mehajer,20160514060121,,open,,
720191762,38770945,1,Alternative_for_Germany,20160514080120,20160613080128,stale,Legobot,30.0
720191767,47009772,1,Abby_Tomlinson,20160514080122,20160612230118,stale,Legobot,29.0
720191771,49210080,1,2016_United_States–Iran_naval_incident,20160514080125,20160613080132,stale,Legobot,30.0
